T_ALGORITMO:	algoritmo
T_STRING:	"AlgoritmoFibonacci"
T_VAR:	var
T_IDENTIFICADOR:	cont
T_IDENT_SEPARADOR:	,
T_IDENTIFICADOR:	n
T_IDENT_SEPARADOR:	,
T_IDENTIFICADOR:	num
T_IDENT_SEPARADOR:	,
T_IDENTIFICADOR:	atual
T_IDENT_SEPARADOR:	,
T_IDENTIFICADOR:	ant
T_TIPO_ATRIBUIDOR:	:
T_INTEIRO:	inteiro
T_INICIO:	inicio
T_IDENTIFICADOR:	cont
T_OPERADOR_ATRIBUICAO:	<-
T_NUMERO_INTEIRO:	0
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	"Quantos numeros da cadeia fibonacci deseja ver?"
T_PARENTESE_DIR:	)
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	"Digite um numero maior que zero!"
T_PARENTESE_DIR:	)
T_LEIA:	leia
T_PARENTESE_ESQ:	(
T_IDENTIFICADOR:	n
T_PARENTESE_DIR:	)
T_SE:	se
T_IDENTIFICADOR:	n
T_OPERADOR_MENOR_IGUAL:	<=
T_NUMERO_INTEIRO:	0
T_ENTAO:	entao
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	"Numero Inválido!!!"
T_PARENTESE_DIR:	)
T_SENAO:	senao
T_SE:	se
T_PARENTESE_ESQ:	(
T_IDENTIFICADOR:	n
T_OPERADOR_IGUAL:	=
T_NUMERO_INTEIRO:	1
T_PARENTESE_DIR:	)
T_ENTAO:	entao
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	""
T_PARENTESE_DIR:	)
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	"O primeiro numero da cadeia Fibonacci: "
T_PARENTESE_DIR:	)
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	"1 "
T_PARENTESE_DIR:	)
T_SENAO:	senao
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	""
T_PARENTESE_DIR:	)
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	"Os",n," primeiros numeros da cadeia Fibonacci: "
T_PARENTESE_DIR:	)
T_SE:	se
T_IDENTIFICADOR:	n
T_OPERADOR_IGUAL:	=
T_NUMERO_INTEIRO:	1
T_ENTAO:	entao
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	"1 "
T_PARENTESE_DIR:	)
T_SENAO:	senao
T_ESCREVA:	escreva
T_PARENTESE_ESQ:	(
T_STRING:	"1  "
T_PARENTESE_DIR:	)
T_IDENTIFICADOR:	atual
T_OPERADOR_ATRIBUICAO:	<-
T_NUMERO_INTEIRO:	1
T_IDENTIFICADOR:	ant
T_OPERADOR_ATRIBUICAO:	<-
T_NUMERO_INTEIRO:	0
T_REPITA:	repita
T_IDENTIFICADOR:	num
T_OPERADOR_ATRIBUICAO:	<-
T_IDENTIFICADOR:	atual
T_OPERADOR_SOMA:	+
T_IDENTIFICADOR:	ant
T_ESCREVA:	escreva
T_PARENTESE_ESQ:	(
T_STRING:	"- ", num, "  "
T_PARENTESE_DIR:	)
T_IDENTIFICADOR:	ant
T_OPERADOR_ATRIBUICAO:	<-
T_IDENTIFICADOR:	atual
T_IDENTIFICADOR:	atual
T_OPERADOR_ATRIBUICAO:	<-
T_IDENTIFICADOR:	num
T_IDENTIFICADOR:	cont
T_OPERADOR_ATRIBUICAO:	<-
T_IDENTIFICADOR:	cont
T_OPERADOR_SOMA:	+
T_NUMERO_INTEIRO:	1
T_ATE:	ate
T_PARENTESE_ESQ:	(
T_IDENTIFICADOR:	cont
T_OPERADOR_IGUAL:	=
T_IDENTIFICADOR:	n
T_OPERADOR_SUBTRACAO:	-
T_NUMERO_INTEIRO:	1
T_PARENTESE_DIR:	)
T_FIMSE:	fimse
T_FIMSE:	fimse
T_FIMSE:	fimse
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	""
T_PARENTESE_DIR:	)
T_FIMALGORITMO:	fimalgoritmo
SEU ALGORITMO EH VALIDO!
