T_ALGORITMO:	algoritmo
T_STRING:	"FibMaior500"
T_VAR:	var
T_IDENTIFICADOR:	cont
T_IDENT_SEPARADOR:	,
T_IDENTIFICADOR:	num
T_IDENT_SEPARADOR:	,
T_IDENTIFICADOR:	atual
T_IDENT_SEPARADOR:	,
T_IDENTIFICADOR:	ant
T_TIPO_ATRIBUIDOR:	:
T_INTEIRO:	inteiro
T_INICIO:	inicio
T_IDENTIFICADOR:	cont
T_OPERADOR_ATRIBUICAO:	<-
T_NUMERO_INTEIRO:	0
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	"Gerando série Fibonacci até valor maior que 500..."
T_PARENTESE_DIR:	)
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	""
T_PARENTESE_DIR:	)
T_ESCREVA:	escreva
T_PARENTESE_ESQ:	(
T_STRING:	"0 1"
T_PARENTESE_DIR:	)
T_IDENTIFICADOR:	atual
T_OPERADOR_ATRIBUICAO:	<-
T_NUMERO_INTEIRO:	1
T_IDENTIFICADOR:	ant
T_OPERADOR_ATRIBUICAO:	<-
T_NUMERO_INTEIRO:	0
T_REPITA:	repita
T_IDENTIFICADOR:	num
T_OPERADOR_ATRIBUICAO:	<-
T_IDENTIFICADOR:	atual
T_OPERADOR_SOMA:	+
T_IDENTIFICADOR:	ant
T_ESCREVA:	escreva
T_PARENTESE_ESQ:	(
T_IDENTIFICADOR:	num
T_PARENTESE_DIR:	)
T_IDENTIFICADOR:	ant
T_OPERADOR_ATRIBUICAO:	<-
T_IDENTIFICADOR:	atual
T_IDENTIFICADOR:	atual
T_OPERADOR_ATRIBUICAO:	<-
T_IDENTIFICADOR:	num
T_IDENTIFICADOR:	cont
T_OPERADOR_ATRIBUICAO:	<-
T_IDENTIFICADOR:	cont
T_OPERADOR_SOMA:	+
T_NUMERO_INTEIRO:	1
T_ATE:	ate
T_PARENTESE_ESQ:	(
T_IDENTIFICADOR:	atual
T_OPERADOR_MAIOR:	>
T_NUMERO_INTEIRO:	500
T_PARENTESE_DIR:	)
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	""
T_PARENTESE_DIR:	)
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	""
T_PARENTESE_DIR:	)
T_ESCREVAL:	escreval
T_PARENTESE_ESQ:	(
T_STRING:	"Maior número foi"
T_IDENT_SEPARADOR:	,
T_IDENTIFICADOR:	atual
T_PARENTESE_DIR:	)
T_FIMALGORITMO:	fimalgoritmo
SEU ALGORITMO EH VALIDO!
